"","ay","age","amount","metric","eval_date"
"2007.99",2007,99,2442909583,"ind_itdpaid",03/31/2015
"2008.99",2008,99,2577429793,"ind_itdpaid",03/31/2016
"2009.99",2009,99,2494632740,"ind_itdpaid",03/31/2017
"2010.99",2010,99,2574122850,"ind_itdpaid",03/31/2018
"1999.111",1999,111,2790234013,"ind_itdpaid",03/31/2008
"2000.111",2000,111,3160535150,"ind_itdpaid",03/31/2009
"2001.111",2001,111,4433981755,"ind_itdpaid",03/31/2010
"2002.111",2002,111,4397485436,"ind_itdpaid",03/31/2011
"2003.111",2003,111,4119916444,"ind_itdpaid",03/31/2012
"2004.111",2004,111,2921940245,"ind_itdpaid",03/31/2013
"2005.111",2005,111,2294333526,"ind_itdpaid",03/31/2014
"2006.111",2006,111,2364198219,"ind_itdpaid",03/31/2015
"2007.111",2007,111,2521082689,"ind_itdpaid",03/31/2016
"2008.111",2008,111,2641865538,"ind_itdpaid",03/31/2017
"2009.111",2009,111,2566977089,"ind_itdpaid",03/31/2018
"1998.123",1998,123,2559290692,"ind_itdpaid",03/31/2008
"1999.123",1999,123,2840458225,"ind_itdpaid",03/31/2009
"2000.123",2000,123,3207943177,"ind_itdpaid",03/31/2010
"2001.123",2001,123,4504925463,"ind_itdpaid",03/31/2011
"2002.123",2002,123,4476640173,"ind_itdpaid",03/31/2012
"2003.123",2003,123,4210554606,"ind_itdpaid",03/31/2013
"2004.123",2004,123,2997910692,"ind_itdpaid",03/31/2014
"2005.123",2005,123,2351691864,"ind_itdpaid",03/31/2015
"2006.123",2006,123,2425667372,"ind_itdpaid",03/31/2016
"2007.123",2007,123,2584109756,"ind_itdpaid",03/31/2017
"2008.123",2008,123,2697344714,"ind_itdpaid",03/31/2018
"1997.135",1997,135,2183319841,"ind_itdpaid",03/31/2008
"1998.135",1998,135,2600239343,"ind_itdpaid",03/31/2009
"1999.135",1999,135,2880224640,"ind_itdpaid",03/31/2010
"2000.135",2000,135,3246438495,"ind_itdpaid",03/31/2011
"2001.135",2001,135,4567994420,"ind_itdpaid",03/31/2012
"2002.135",2002,135,4539313136,"ind_itdpaid",03/31/2013
"2003.135",2003,135,4294765698,"ind_itdpaid",03/31/2014
"2004.135",2004,135,3051873084,"ind_itdpaid",03/31/2015
"2005.135",2005,135,2396374010,"ind_itdpaid",03/31/2016
"2006.135",2006,135,2466903718,"ind_itdpaid",03/31/2017
"2007.135",2007,135,2630623732,"ind_itdpaid",03/31/2018
"1996.147",1996,147,1853611890,"ind_itdpaid",03/31/2008
"1997.147",1997,147,2207336359,"ind_itdpaid",03/31/2009
"1998.147",1998,147,2623641497,"ind_itdpaid",03/31/2010
"1999.147",1999,147,2909026887,"ind_itdpaid",03/31/2011
"2000.147",2000,147,3278902880,"ind_itdpaid",03/31/2012
"2001.147",2001,147,4618242359,"ind_itdpaid",03/31/2013
"2002.147",2002,147,4593784894,"ind_itdpaid",03/31/2014
"2003.147",2003,147,4359187183,"ind_itdpaid",03/31/2015
"2004.147",2004,147,3094599307,"ind_itdpaid",03/31/2016
"2005.147",2005,147,2429923246,"ind_itdpaid",03/31/2017
"2006.147",2006,147,2506374177,"ind_itdpaid",03/31/2018
"1995.159",1995,159,1558427638,"ind_itdpaid",03/31/2008
"1996.159",1996,159,1870294397,"ind_itdpaid",03/31/2009
"1997.159",1997,159,2222787714,"ind_itdpaid",03/31/2010
"1998.159",1998,159,2647254270,"ind_itdpaid",03/31/2011
"1999.159",1999,159,2935208129,"ind_itdpaid",03/31/2012
"2000.159",2000,159,3308413006,"ind_itdpaid",03/31/2013
"2001.159",2001,159,4669043025,"ind_itdpaid",03/31/2014
"2002.159",2002,159,4635128958,"ind_itdpaid",03/31/2015
"2003.159",2003,159,4402779055,"ind_itdpaid",03/31/2016
"2004.159",2004,159,3128639900,"ind_itdpaid",03/31/2017
"2005.159",2005,159,2459082325,"ind_itdpaid",03/31/2018
"1994.171",1994,171,1575593605,"ind_itdpaid",03/31/2008
"1995.171",1995,171,1569336631,"ind_itdpaid",03/31/2009
"1996.171",1996,171,1883386457,"ind_itdpaid",03/31/2010
"1997.171",1997,171,2238347228,"ind_itdpaid",03/31/2011
"1998.171",1998,171,2668432305,"ind_itdpaid",03/31/2012
"1999.171",1999,171,2958689794,"ind_itdpaid",03/31/2013
"2000.171",2000,171,3331571897,"ind_itdpaid",03/31/2014
"2001.171",2001,171,4706395369,"ind_itdpaid",03/31/2015
